Date,DE40Cash_profit,DE40Cash_lot,Date,Price,Open,High,Low,Vol.,Change %,DE40Cash_China_profit,DE40Cash_China_lot,DE40Cash_World_profit,DE40Cash_World_lot
02/02/2024,-3074.83,72.25,2/2/2024,16918.21,16977.75,17004.55,16894.67,85.85M,0.35%,143.77,3.69,3.81,0.74
05/02/2024,4867.67,69.21,2/5/2024,16904.06,16925.97,16972.62,16859.00,69.94M,-0.08%,256.99,2.89,-516.38,0.35
06/02/2024,4935.51,79.00,2/6/2024,17033.24,16965.89,17049.52,16871.32,75.54M,0.76%,-3848.57,24.52,-1685.55,0.82
07/02/2024,-4765.10,73.41,2/7/2024,16921.96,17020.77,17021.55,16907.15,93.04M,-0.65%,1331.89,9.29,-649.24,0.59
08/02/2024,-2292.46,83.18,2/8/2024,16963.83,16936.14,17029.54,16889.13,67.42M,0.25%,-641.68,18.24,-387.15,0.45
09/02/2024,-607.42,37.68,2/9/2024,16926.50,16973.58,16993.12,16876.36,61.64M,-0.22%,348.53,6.41,10.50,0.31
12/02/2024,1589.81,56.13,2/12/2024,17037.35,16975.99,17042.74,16958.80,53.29M,0.65%,566.35,16.10,-2360.32,0.49
13/02/2024,-3106.30,55.59,2/13/2024,16880.83,16987.09,16991.61,16831.53,62.96M,-0.92%,601.36,18.77,-6508.18,1.18
14/02/2024,-4880.37,54.11,2/14/2024,16945.48,16872.89,16957.78,16857.34,53.72M,0.38%,-529.13,10.58,244.34,0.28
15/02/2024,-1673.27,36.43,2/15/2024,17046.69,17022.54,17089.12,17003.82,83.79M,0.60%,415.32,12.38,-10002.97,0.70
16/02/2024,5410.56,84.19,2/16/2024,17117.44,17117.37,17198.45,17060.38,76.38M,0.42%,-2384.68,40.19,-629.60,1.33
19/02/2024,-20688.42,63.36,2/19/2024,17092.26,17075.74,17098.61,17049.22,43.23M,-0.15%,1007.35,20.80,-1322.71,0.20
20/02/2024,-3276.40,101.69,2/20/2024,17068.43,17066.23,17084.87,17019.15,62.71M,-0.14%,329.60,63.16,-2.60,0.31
21/02/2024,-3439.85,92.03,2/21/2024,17118.12,17102.08,17157.95,17063.25,59.40M,0.29%,519.69,77.87,-4329.97,1.17
